stop_id,stop_name,stop_lat,stop_lon
"8220B1021601","Dublin (Leeson St (Fitzwilliam Place)","53.3331746082304","-6.25407726314052"
"8220B1021701","Burlington Hotel Sussex Road","53.3297106861169","-6.24893374968254"
"8220B1021801","Dublin (Donnybrook Church)","53.3185971380099","-6.23098620998624"
"8220B1021901","Dublin (RTE)","53.3145175114646","-6.22440094329832"
"8220B1043301","Whitehall (Church Collins Ave)","53.3839185093541","-6.24346256595903"
"8220B1043501","Whitehall (Garda Station)","53.3764271825788","-6.2499034037806"
"8220B1044901","Phibsboro (St. Peters Church)","53.3607634116439","-6.2766289314761"
"8220B1045001","Dublin (Opp Half Way House)","53.3715875372432","-6.33055102095515"
"8220B1045901","Phibsboro (Opp St Peters Church)","53.3608535465535","-6.27602429158869"
"8220B1046001","Phibsboro (Berkley Rd)","53.3596828024235","-6.26965602998253"
"8220B1046101","Dublin (Merrion Row)","53.3385331896343","-6.25480444135106"
"8220B1050001","Dublin (Trinity College)","53.3437835692199","-6.25920086271606"
"8220B1063801","Dublin (Opposite RTE)","53.3146997356063","-6.22577420211839"
"8220B106421","North Wall, North Wall Quay","53.3468793652771","-6.22892915852585"
"8220B111751","Phibsborough, Phibsboro Road (NCR)","53.3601923329219","-6.27256522611868"
"8220B111761","Pearse Station, Westland Row Church","53.3431250983872","-6.24982587796841"
"8220B111771","Dublin City, Marlborough Street","53.349115135278","-6.25561891627054"
"8220B111781","Merrion Square, Holles Street","53.3401450526873","-6.24765020084269"
"8220B123501","The 3Arena (Point Depot)","53.3483864091792","-6.22691398000898"
"8220B123511","Dublin (Opp Convention Centre)","53.3474610564382","-6.23968971942789"
"8220B123521","Custom House Quay (Opp Jurys Inn)","53.3479814560835","-6.24695326829959"
"8220B123531","Dublin (Opp IFSC)","53.3479034788415","-6.24715173539031"
"8220B1262001","Glasnevin, Hart's Corner","53.3667962218684","-6.27240321889904"
"8220B134961","Dublin Busaras, Busáras","53.3498385867717","-6.25100789921742"
"8220B1349701","Dublin (Gardiner Street)","53.3563423559873","-6.25874910275868"
"8220B1349801","Dublin (Talbot Street)","53.3511860348525","-6.25156861958856"
"8220B1349901","Dublin, Parnell Square","53.353689759111","-6.26237252337884"
"8220B1350002","Busáras","53.349580765306","-6.25181457561332"
"8220B1350201","Dublin (DCU)","53.386888884633","-6.25663057318753"
"8220B1350301","Dublin (Beresford Place)","53.3487549295197","-6.25495768638166"
"8220B1350401","Dublin (St Stephens Green)","53.3372423341478","-6.25626873215729"
"8220B1350501","Dublin (O Connell Street)","53.3508391969982","-6.26043052493635"
"8220B1350801","Dublin City South, Kildare Street","53.3401356511022","-6.25559501489233"
"8220B1351001","Dublin, Halfpenny Bridge","53.3458641751298","-6.26381729294171"
"8220B1351201","Outside Connolly Station","53.3502180212919","-6.25052670165243"
"8220B1351401","Dublin City South, Georges Quay","53.3473826953875","-6.25331643588367"
"8220B1352701","Dublin (Custom House Quay)","53.3483592044049","-6.2537121112653"
"8220B135301","Dublin City South, Leeson Street","53.3354983593528","-6.25624978586895"
"8220B1353101","Dublin City South, Wilton Terrace","53.3330493209031","-6.25043365506791"
"8220B1353201","Dublin City South, Baggot St Lower","53.3364376609929","-6.24858307013009"
"8220B1353301","Dawson Street (Pink Shirt Shop)","53.340134371715","-6.25858361137312"
"8220B1353501","Dublin, Eden Quay","53.3477999659065","-6.25849647173381"
"8220B1354001","Outside Heuston Train Station","53.3458581867796","-6.29393218197991"
"8220B135411","Dublin City South, Wilton Terrace","53.3324042088645","-6.25241202316961"
"8220B1354201","Outside Heuston Train Station","53.3462001112321","-6.29270191970554"
"8220B1358201","Phibsboro (Mater Hospital)","53.3604291327272","-6.26843881916137"
"8220B1358401","Dublin (D'Olier Street)","53.3466729562416","-6.25825702932735"
"8220B136041","IKEA Ballymun","53.4042282627213","-6.26536697324471"
"8220B136151","Dublin (Fitzwilliam Square)","53.3371751204766","-6.25167634065391"
"8220B136551","Dublin (Leeson St Upper (Grand Parade)","53.3311450829316","-6.25235839578026"
"8220B3551501","Nutley Lane (St Vincent's Hospital)","53.3173579970597","-6.21598254819272"
"8220DB000015","Ballybough, Lower Dorset Street","53.3600885841359","-6.2610904703136"
"8220DB000187","Phibsborough, Phibsboro Road","53.3627342523604","-6.27244736533832"
"8220DB000190","Phibsborough, Broadstone Depot","53.3551257304144","-6.27337107400574"
"8220DB000341","Dublin City South, Townsend Street","53.346028151357","-6.25657104949808"
"8220DB000772","Donnybrook, Donnybrook Bus Garage","53.3184852574538","-6.23132106360093"
"8220DB000847","Dublin City South, Upper Leeson Street (Mespil Road)","53.3316014451627","-6.25221961965177"
"8220DB002086","Merrion, Nutley Lane","53.3181567845485","-6.21470338209092"
"8230B1025101","Palmerston, Liffey Valley Footbridge","53.3557398996124","-6.39193883713713"
"8230B1034401","Lucan (Opp Spa Hotel)","53.354034360228","-6.45885242526344"
"8230B1034501","Liffey Valley (Opp Shopping Centre)","53.3561766444633","-6.39166700005541"
"8230B105661","Tallaght (Hospital)","53.2894293212394","-6.3742407975085"
"8230B1343601","Newlands Cross (Southbound)","53.3125255302988","-6.39125252534118"
"8230B1344901","Red Cow LUAS","53.3162775616946","-6.37365576374738"
"8230B1360501","Clondalkin, Newlands Cross","53.3136971812806","-6.38816179122307"
"8230B1550101","Tallaght (Opp Hospital)","53.2893774535526","-6.37373277595013"
"8240B100021","Skerries (War Memorial)","53.5803895380854","-6.10700998031344"
"8240B1001501","Santry (Omni Shopping Centre)","53.3919064469343","-6.2463513403633"
"8240B1001601","Swords (Airside Retail Pk)","53.4468179717604","-6.22832686269413"
"8240B1001801","Swords (Seatown Roundabout)","53.4617325602844","-6.21347336992371"
"8240B1001901","Swords (Opp Bostic)","53.4686889702079","-6.21345232771727"
"8240B1002001","Turvey, Drimnagh Road(Turvey Road)","53.4942649921154","-6.19525498683738"
"8240B1002101","Ballough (Opp Man of War)","53.5335210290563","-6.19562238916679"
"8240B1002201","Oberstown, Five Roads","53.5514316421769","-6.20981720122461"
"8240B1002301","Grooms","53.5670652112087","-6.20945884699274"
"8240B1002401","Courtlough, Knock Cross","53.5768356582441","-6.20231054766472"
"8240B1002501","Balrothery (Opp Kingdom Hall)","53.5935078086979","-6.1856187603554"
"8240B1002601","Balbriggan (Opp Golf Club)","53.5967032599114","-6.18356297996706"
"8240B1002701","Balbriggan (Opp Wavin)","53.60188781927","-6.18524443818982"
"8240B1002801","Balbriggan (Car Park)","53.6044822959891","-6.18445316287735"
"8240B1002901","Balbriggan (Community College)","53.6113674183595","-6.18625859731593"
"8240B1003001","Balbriggan (Bath Rd Service Station )","53.6134815558293","-6.18935720088223"
"8240B1003101","Balbriggan (Garda Station)","53.6159187402453","-6.19242719137927"
"8240B1007101","Balbriggan (Apache Pizza)","53.6112615172544","-6.18579460059915"
"8240B1007201","Balbriggan (Wavin)","53.6003537245077","-6.18543109316004"
"8240B1007301","Balbriggan (Golf Club)","53.595808536305","-6.1832387642377"
"8240B1007401","Balrothery (Creaderwood Lodge)","53.5933802280657","-6.18550336619333"
"8240B1007501","Opp Courtlough","53.5768329359975","-6.20212944220891"
"8240B1007601","Opp Grooms","53.5672513522529","-6.20928490102549"
"8240B1007701","Opp Five Roads","53.5508533390268","-6.20901152922906"
"8240B1007801","Ballough (Man of War)","53.5314476922221","-6.19343262499992"
"8240B1007901","Turvey (Jctn Turvey Avenue)","53.494570269189","-6.19463912088673"
"8240B1008001","Swords (Bostic)","53.4685930674231","-6.21304964832671"
"8240B1008101","Swords (Woodies Seatown)","53.462205699828","-6.21325770830892"
"8240B1008201","Swords (Opp Airside Retail PK)","53.4432270441943","-6.22800962288092"
"8240B1008301","Santry (Opp Omni)","53.3922793022538","-6.24603528651991"
"8240B1009301","Coolquoy, Ward Cross","53.4587810772361","-6.35073013356082"
"8240B1010901","Coolquay (Mays Stores)","53.458587237874","-6.35036116211557"
"8240B1011001","Ward Cross (Southbound)","53.4442109665918","-6.34093726650701"
"8240B1011101","Brock Inn","53.433659607079","-6.33322099989119"
"8240B1011201","Suncourt (Jctn of Motorway)","53.4215525654992","-6.32484740554746"
"8240B1012601","Blanchardstown (Jctn Navan Rd)","53.3860274763593","-6.37060724072582"
"8240B101281","Blanchardstown, Crowne Plaza","53.3958146966725","-6.39110489726147"
"8240B1043201","Balrothery (Balrothery Inn)","53.5880076830696","-6.18920790704046"
"8240B1045601","Blanchardstown SC (Slip Rd Eastbound)","53.3973158526467","-6.38978510199504"
"8240B105181","Phoenix Park Racecourse, Navan Road Parkway (Outbound)","53.3759199920699","-6.34476547985341"
"8240B105191","Castleknock, Outside Train Station","53.3770660292927","-6.3457431129165"
"8240B1056201","Kilshane Cross (Eastbound)","53.4289792085835","-6.33016862194691"
"8240B109261","Barons Hill Rise","53.613834270822","-6.20621040982708"
"8240B109271","Brega","53.6147539709107","-6.20400992918971"
"8240B109281","Opp Jaffa's","53.6044651877387","-6.18984875465539"
"8240B109291","Harry Reynolds Rd (Graveyard)","53.6084767273348","-6.19301714209864"
"8240B109301","Clonard Road","53.6065223639441","-6.20169952510535"
"8240B109311","Westbrook Drive","53.6104102005413","-6.19427969633219"
"8240B109321","Ashfield Green","53.6135043597498","-6.19443481944903"
